,level_0,index,Unnamed: 0,Text,Label
0,0,0,0,Jose María Aznar respalda al líder del PP Pablo Casado en la convención nacional del partido y le dice que llegará a ser presidente  ,0
1,1,1,1,Los grupos de ERC JxCat y la CUP en el Parlament no llegan a un acuerdo para pactar una resolución conjunta sobre el referendum que incorporase la propuesta de la formación anticapitalista de celebrarlo antes de que finalice la legislatura  ,0
2,2,2,2,El magistrado del Supremo Pablo Llarena que instruye la causa contra Carles Puigdemont pide al Tribunal de Apelación de Sassari Italia que lo entregue a España porque la euroorden está activa y ya no tiene inmunidad  ,0
3,3,3,3,La OMS se conjura para priorizar la salud mental en la vida pospandemia   ,0
4,4,4,4,El Tribunal Supremo pide al tribunal de Cerdeña Italia que entregue a Puigdemont,0
5,5,5,5,Arranca la tramitación parlamentaria del proyecto de ley de reforma de la Constitución que busca borrar el termino disminuido   El Congreso rechaza las enmiendas a la totalidad de Vox y PP y los grupos les piden no bloquear el exito de la iniciativa  ,0
6,6,6,6,  La Palma crece con el nuevo delta o mejor fajana  Por Raúl Casado   ,0
7,7,7,7,Banco Sabadell ha rebajado de 1936 a 1730 el número de trabajadores afectados por el Expediente de Regulación de Empleo ERE según ha anunciado a los sindicatos durante la reunión celebrada este jueves  ,0
8,8,8,8,El deficit del conjunto de las administraciones públicas salvo las corporaciones locales cuyos datos aún no se conocen alcanzó los 52196 millones de euros en los siete primeros meses del año un 296  menos que en el mismo periodo de 2020  ,0
9,9,9,9,El Banco Sabadell rebaja de 1936 a 1730 las personas afectadas por el ERE,0
10,10,10,10,Los grupos del PSC Vox Cs y los tres diputados del PPC del grupo mixto piden a la Mesa del Parlament que reconsidere la admisión a trámite de la propuesta de resolución de la CUP que pide la celebración de un referendum de autodeterminación  ,0
11,11,11,11,El deficit público baja a 52196 millones hasta julio el 432  del PIB,0
12,12,12,12,El precio de la electricidad en el mercado mayorista arrancará octubre con un nuevo máximo histórico y por primera vez en la historia sobrepasará de media en un día los 200 eurosmegavatios hora al alcanzar para mañana viernes los 21601 eurosMWh  ,0
13,13,13,13,El precio de la luz inicia octubre en máximo histórico y superando los 200 MWh,0
